sentence,prompt,device,backend,text,prompt_cer
1,爸爸抱着宝宝跑步，胖胖的朋友捧着泡泡瓶。,dji,doubao,爸爸抱上宝宝跑步，胖胖的朋友捧着宝宝饼。,0.2222222222222222
1,爸爸抱着宝宝跑步，胖胖的朋友捧着泡泡瓶。,ring,doubao,,1.0
1,爸爸抱着宝宝跑步，胖胖的朋友捧着泡泡瓶。,dji,sensevoice,爸爸宝社帮宝跑步，胖胖的朋友帮着抱抱病。,0.3888888888888889
1,爸爸抱着宝宝跑步，胖胖的朋友捧着泡泡瓶。,ring,sensevoice,。,1.0
1,爸爸抱着宝宝跑步，胖胖的朋友捧着泡泡瓶。,dji,funasr_nano,爸爸抱着宝宝跑步，胖胖的朋友帮着抱抱饼。,0.2222222222222222
1,爸爸抱着宝宝跑步，胖胖的朋友捧着泡泡瓶。,ring,funasr_nano,,1.0
2,白色的皮球滚到了葡萄架旁。,dji,doubao,白色的皮球滚到了葡萄架旁边。,0.08333333333333333
2,白色的皮球滚到了葡萄架旁。,ring,doubao,太空,1.0
2,白色的皮球滚到了葡萄架旁。,dji,sensevoice,白色的貔球混到了葡萄家旁边。,0.3333333333333333
2,白色的皮球滚到了葡萄架旁。,ring,sensevoice,儿的不是偷老。,0.9166666666666666
2,白色的皮球滚到了葡萄架旁。,dji,funasr_nano,白色的皮球滚到了葡萄架旁边,0.08333333333333333
2,白色的皮球滚到了葡萄架旁。,ring,funasr_nano,他和孟山偷偷跑出来。,1.0
3,葡萄皮薄不怕碰，白布包着八本笔记。,dji,doubao,葡萄皮薄不怕胖！百宝库抱着8本笔记！,0.4
3,葡萄皮薄不怕碰，白布包着八本笔记。,ring,doubao,白色的啤酒。,0.9333333333333333
3,葡萄皮薄不怕碰，白布包着八本笔记。,dji,sensevoice,不打皮部不怕包，白包布包着八本笔迹。,0.4
3,葡萄皮薄不怕碰，白布包着八本笔记。,ring,sensevoice,宝宝的朋友躺着旁病，白色的皮球红到了。,1.0666666666666667
3,葡萄皮薄不怕碰，白布包着八本笔记。,dji,funasr_nano,不打屁股不怕胖外包布包着八本笔记,0.4666666666666667
3,葡萄皮薄不怕碰，白布包着八本笔记。,ring,funasr_nano,好多的朋友都这么问。,1.0
4,包裹放在旁边，请帮朋友搬进房间。,dji,doubao,包裹放在旁边，请帮朋友搬进房间。,0.0
4,包裹放在旁边，请帮朋友搬进房间。,ring,doubao,宝本笔记。,1.0
4,包裹放在旁边，请帮朋友搬进房间。,dji,sensevoice,包括放在旁边，请帮朋友搬进房间。,0.07142857142857142
4,包裹放在旁边，请帮朋友搬进房间。,ring,sensevoice,皮不，外毛某疹疤分脾气。,1.0
4,包裹放在旁边，请帮朋友搬进房间。,dji,funasr_nano,包裹放在旁边，亲朋好友搬进房间。,0.21428571428571427
4,包裹放在旁边，请帮朋友搬进房间。,ring,funasr_nano,八B八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八八,36.57142857142857
5,他提着袋子到大厅，哥哥看过干净的天空。,dji,doubao,他提着袋子来到大厅，哥哥看过干净的天空。,0.058823529411764705
5,他提着袋子到大厅，哥哥看过干净的天空。,ring,doubao,怎么变成？,1.0
5,他提着袋子到大厅，哥哥看过干净的天空。,dji,sensevoice,他提着袋子来到大厅，哥哥看过干净的天空。,0.058823529411764705
5,他提着袋子到大厅，哥哥看过干净的天空。,ring,sensevoice,保进房间。,1.0
5,他提着袋子到大厅，哥哥看过干净的天空。,dji,funasr_nano,他提着袋子来到大厅，哥哥看过干净的天空。,0.058823529411764705
5,他提着袋子到大厅，哥哥看过干净的天空。,ring,funasr_nano,好，那我们先保存OK，前方坡路，快进，往前。,1.0
6,我们停下脚步，等同伴一起出发。,dji,doubao,我们停下脚步，等待同伴一起出发。,0.07692307692307693
6,我们停下脚步，等同伴一起出发。,ring,doubao,,1.0
6,我们停下脚步，等同伴一起出发。,dji,sensevoice,我们停下脚步，打带同伴一起出发。,0.15384615384615385
6,我们停下脚步，等同伴一起出发。,ring,sensevoice,。,1.0
6,我们停下脚步，等同伴一起出发。,dji,funasr_nano,我们停下脚步，等待同伴一起出发。,0.07692307692307693
6,我们停下脚步，等同伴一起出发。,ring,funasr_nano,,1.0
7,明天我们一起讨论旅行安排。,dji,doubao,明天我们一起讨论旅行安排。,0.0
7,明天我们一起讨论旅行安排。,ring,doubao,停下脚步，等待一起出发！,1.0
7,明天我们一起讨论旅行安排。,dji,sensevoice,明天我们一起讨论旅行安排。,0.0
7,明天我们一起讨论旅行安排。,ring,sensevoice,我们停下交步，大家同伴一起装发。,1.1666666666666667
7,明天我们一起讨论旅行安排。,dji,funasr_nano,明天我们一起讨论旅行安排,0.0
7,明天我们一起讨论旅行安排。,ring,funasr_nano,我们停下脚步，等待同伴一起出发。,1.1666666666666667
8,带上水杯和地图，慢慢走过门前的小桥。,dji,doubao,带上水杯和地图，慢慢走过门前的小桥。,0.0
8,带上水杯和地图，慢慢走过门前的小桥。,ring,doubao,,1.0
8,带上水杯和地图，慢慢走过门前的小桥。,dji,sensevoice,带上水杯和地图，慢慢走过门前的小桥。,0.0
8,带上水杯和地图，慢慢走过门前的小桥。,ring,sensevoice,。,1.0
8,带上水杯和地图，慢慢走过门前的小桥。,dji,funasr_nano,带上水杯和地图慢慢走过门前的小桥,0.0
8,带上水杯和地图，慢慢走过门前的小桥。,ring,funasr_nano,,1.0
9,Please put the blue paper beside the purple box.,dji,doubao,Please make the blue paper besides purple blocks.,0.28205128205128205
9,Please put the blue paper beside the purple box.,ring,doubao,关系到女性安全。,1.0
9,Please put the blue paper beside the purple box.,dji,sensevoice,Please move the blue paper beside purple blocks.,0.28205128205128205
9,Please put the blue paper beside the purple box.,ring,sensevoice,明天我们一起统些安排。,1.0
9,Please put the blue paper beside the purple box.,dji,funasr_nano,Please note the blue paper besides purple blocks.,0.2564102564102564
9,Please put the blue paper beside the purple box.,ring,funasr_nano,明天我会写到日历上安排。,1.0
